orig.ident	nReads	nGene	celltype
lung_SmartSeq2_Smart-seq2_G11.MAA000530.3_8_M.1.1	Smart-seq2	914770	2120	Pericyte
lung_SmartSeq2_Smart-seq2_H22.MAA000530.3_8_M.1.1	Smart-seq2	1547967	1891	NK
lung_SmartSeq2_Smart-seq2_J8.MAA000530.3_8_M.1.1	Smart-seq2	795811	1481	Endo_arterial
lung_SmartSeq2_Smart-seq2_K21.MAA000530.3_8_M.1.1	Smart-seq2	295348	1481	Tcell_CD4T
lung_SmartSeq2_Smart-seq2_C17.MAA000530.3_8_M.1.1	Smart-seq2	665484	1496	Endo_capillary
lung_SmartSeq2_Smart-seq2_M5.MAA000530.3_8_M.1.1	Smart-seq2	1206567	2945	Epi_AT2
lung_SmartSeq2_Smart-seq2_D22.MAA000530.3_8_M.1.1	Smart-seq2	623793	2200	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_F4.MAA000530.3_8_M.1.1	Smart-seq2	1835807	3190	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_N10.MAA000530.3_8_M.1.1	Smart-seq2	2088115	4119	FB_adventitial
lung_SmartSeq2_Smart-seq2_P20.MAA000530.3_8_M.1.1	Smart-seq2	519590	2237	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_C19.MAA000530.3_8_M.1.1	Smart-seq2	1326810	2775	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_F6.MAA000530.3_8_M.1.1	Smart-seq2	773122	1927	Endo_venous
lung_SmartSeq2_Smart-seq2_G13.MAA000530.3_8_M.1.1	Smart-seq2	1970781	2794	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_I1.MAA000530.3_8_M.1.1	Smart-seq2	865558	2159	Endo_capillary
lung_SmartSeq2_Smart-seq2_E1.MAA000530.3_8_M.1.1	Smart-seq2	1268835	2934	Endo_capillary
lung_SmartSeq2_Smart-seq2_J10.MAA000530.3_8_M.1.1	Smart-seq2	828575	2139	FB_adventitial
lung_SmartSeq2_Smart-seq2_M6.MAA000530.3_8_M.1.1	Smart-seq2	1114584	2569	Endo_capillary
lung_SmartSeq2_Smart-seq2_K22.MAA000530.3_8_M.1.1	Smart-seq2	945189	2027	Bcell
lung_SmartSeq2_Smart-seq2_N11.MAA000530.3_8_M.1.1	Smart-seq2	926680	2227	Pericyte
lung_SmartSeq2_Smart-seq2_O17.MAA000530.3_8_M.1.1	Smart-seq2	624130	1790	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_P21.MAA000530.3_8_M.1.1	Smart-seq2	308273	1613	NK
lung_SmartSeq2_Smart-seq2_C20.MAA000530.3_8_M.1.1	Smart-seq2	1223023	2125	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_E2.MAA000530.3_8_M.1.1	Smart-seq2	1022469	2578	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_F7.MAA000530.3_8_M.1.1	Smart-seq2	1085582	1809	Endo_capillary
lung_SmartSeq2_Smart-seq2_G14.MAA000530.3_8_M.1.1	Smart-seq2	934147	3243	FB_adventitial
lung_SmartSeq2_Smart-seq2_P22.MAA000530.3_8_M.1.1	Smart-seq2	527918	1913	Tcell_CD4T
lung_SmartSeq2_Smart-seq2_I2.MAA000530.3_8_M.1.1	Smart-seq2	892616	1691	Endo_capillary
lung_SmartSeq2_Smart-seq2_J11.MAA000530.3_8_M.1.1	Smart-seq2	1323098	3596	FB_adventitial
lung_SmartSeq2_Smart-seq2_L1.MAA000530.3_8_M.1.1	Smart-seq2	895535	4454	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_M7.MAA000530.3_8_M.1.1	Smart-seq2	723797	1853	Endo_capillary
lung_SmartSeq2_Smart-seq2_N12.MAA000530.3_8_M.1.1	Smart-seq2	129899	942	FB_alveolar
lung_SmartSeq2_Smart-seq2_O18.MAA000530.3_8_M.1.1	Smart-seq2	439495	1548	Endo_capillary
lung_SmartSeq2_Smart-seq2_I4.MAA000530.3_8_M.1.1	Smart-seq2	1592872	4058	Epi_AT2
lung_SmartSeq2_Smart-seq2_J12.MAA000530.3_8_M.1.1	Smart-seq2	1888898	2900	FB_adventitial
lung_SmartSeq2_Smart-seq2_L3.MAA000530.3_8_M.1.1	Smart-seq2	832568	1813	Endo_capillary
lung_SmartSeq2_Smart-seq2_M8.MAA000530.3_8_M.1.1	Smart-seq2	1076122	2841	Endo_LEC
lung_SmartSeq2_Smart-seq2_C21.MAA000530.3_8_M.1.1	Smart-seq2	887848	1994	Tcell_CD8T
lung_SmartSeq2_Smart-seq2_E3.MAA000530.3_8_M.1.1	Smart-seq2	1513788	3880	Epi_AT2
lung_SmartSeq2_Smart-seq2_F8.MAA000530.3_8_M.1.1	Smart-seq2	949737	2138	Endo_LEC
lung_SmartSeq2_Smart-seq2_G18.MAA000530.3_8_M.1.1	Smart-seq2	1399354	2319	Endo_LEC
lung_SmartSeq2_Smart-seq2_N13.MAA000530.3_8_M.1.1	Smart-seq2	1716562	3404	FB_adventitial
lung_SmartSeq2_Smart-seq2_O19.MAA000530.3_8_M.1.1	Smart-seq2	986344	2868	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_E4.MAA000530.3_8_M.1.1	Smart-seq2	793858	1760	Epi_ciliated
lung_SmartSeq2_Smart-seq2_F9.MAA000530.3_8_M.1.1	Smart-seq2	1106277	2321	Endo_arterial
lung_SmartSeq2_Smart-seq2_G19.MAA000530.3_8_M.1.1	Smart-seq2	1643841	3215	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_C22.MAA000530.3_8_M.1.1	Smart-seq2	1507439	3035	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_I5.MAA000530.3_8_M.1.1	Smart-seq2	666067	1501	Endo_capillary
lung_SmartSeq2_Smart-seq2_E5.MAA000530.3_8_M.1.1	Smart-seq2	663242	2094	Epi_AT2
lung_SmartSeq2_Smart-seq2_F10.MAA000530.3_8_M.1.1	Smart-seq2	1489864	2527	FB_adventitial
lung_SmartSeq2_Smart-seq2_L4.MAA000530.3_8_M.1.1	Smart-seq2	794070	1619	Endo_capillary
lung_SmartSeq2_Smart-seq2_M9.MAA000530.3_8_M.1.1	Smart-seq2	1405747	3934	Endo_LEC
lung_SmartSeq2_Smart-seq2_O20.MAA000530.3_8_M.1.1	Smart-seq2	568836	1948	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_G20.MAA000530.3_8_M.1.1	Smart-seq2	647109	1426	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_D2.MAA000530.3_8_M.1.1	Smart-seq2	918648	1891	Endo_capillary
lung_SmartSeq2_Smart-seq2_J17.MAA000530.3_8_M.1.1	Smart-seq2	471876	1668	Endo_LEC
lung_SmartSeq2_Smart-seq2_L5.MAA000530.3_8_M.1.1	Smart-seq2	1011717	2432	Epi_AT2
lung_SmartSeq2_Smart-seq2_M10.MAA000530.3_8_M.1.1	Smart-seq2	1595809	2575	FB_adventitial
lung_SmartSeq2_Smart-seq2_N17.MAA000530.3_8_M.1.1	Smart-seq2	984169	1857	Endo_capillary
lung_SmartSeq2_Smart-seq2_O21.MAA000530.3_8_M.1.1	Smart-seq2	862631	2167	Tcell_CD8T
lung_SmartSeq2_Smart-seq2_E6.MAA000530.3_8_M.1.1	Smart-seq2	955873	1773	Endo_venous
lung_SmartSeq2_Smart-seq2_F11.MAA000530.3_8_M.1.1	Smart-seq2	2376099	3424	FB_adventitial
lung_SmartSeq2_Smart-seq2_G21.MAA000530.3_8_M.1.1	Smart-seq2	970214	2319	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_I7.MAA000530.3_8_M.1.1	Smart-seq2	1193992	2751	Endo_capillary
lung_SmartSeq2_Smart-seq2_J19.MAA000530.3_8_M.1.1	Smart-seq2	1142633	1899	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_L6.MAA000530.3_8_M.1.1	Smart-seq2	617858	1375	Endo_capillary
lung_SmartSeq2_Smart-seq2_M11.MAA000530.3_8_M.1.1	Smart-seq2	1411058	3398	FB_adventitial
lung_SmartSeq2_Smart-seq2_N18.MAA000530.3_8_M.1.1	Smart-seq2	1930447	4318	FB_adventitial
lung_SmartSeq2_Smart-seq2_O22.MAA000530.3_8_M.1.1	Smart-seq2	589999	2119	Tcell_CD4T
lung_SmartSeq2_Smart-seq2_C4.MAA000839.3_11_M.1.1	Smart-seq2	69452	1125	Endo_capillary
lung_SmartSeq2_Smart-seq2_C5.MAA000839.3_11_M.1.1	Smart-seq2	117256	1818	Endo_capillary
lung_SmartSeq2_Smart-seq2_C7.MAA000839.3_11_M.1.1	Smart-seq2	70206	1347	Endo_capillary
lung_SmartSeq2_Smart-seq2_A3.MAA000839.3_11_M.1.1	Smart-seq2	319277	3869	Epi_ciliated
lung_SmartSeq2_Smart-seq2_C6.MAA000839.3_11_M.1.1	Smart-seq2	51167	1165	Endo_capillary
lung_SmartSeq2_Smart-seq2_A6.MAA000839.3_11_M.1.1	Smart-seq2	36741	787	Endo_capillary
lung_SmartSeq2_Smart-seq2_C10.MAA000839.3_11_M.1.1	Smart-seq2	132064	2078	FB_adventitial
lung_SmartSeq2_Smart-seq2_C11.MAA000839.3_11_M.1.1	Smart-seq2	178083	2869	FB_adventitial
lung_SmartSeq2_Smart-seq2_A12.MAA000839.3_11_M.1.1	Smart-seq2	157387	1700	FB_adventitial
lung_SmartSeq2_Smart-seq2_C21.MAA000839.3_11_M.1.1	Smart-seq2	200461	2619	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_A10.MAA000839.3_11_M.1.1	Smart-seq2	280226	3283	FB_adventitial
lung_SmartSeq2_Smart-seq2_C14.MAA000839.3_11_M.1.1	Smart-seq2	97526	1623	FB_adventitial
lung_SmartSeq2_Smart-seq2_A13.MAA000839.3_11_M.1.1	Smart-seq2	168270	2029	FB_adventitial
lung_SmartSeq2_Smart-seq2_C22.MAA000839.3_11_M.1.1	Smart-seq2	220630	2269	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_D1.MAA000839.3_11_M.1.1	Smart-seq2	124553	1738	FB_alveolar
lung_SmartSeq2_Smart-seq2_A22.MAA000839.3_11_M.1.1	Smart-seq2	40580	845	NK
lung_SmartSeq2_Smart-seq2_B2.MAA000839.3_11_M.1.1	Smart-seq2	184715	1915	FB_adventitial
lung_SmartSeq2_Smart-seq2_D3.MAA000839.3_11_M.1.1	Smart-seq2	76043	1080	Endo_capillary
lung_SmartSeq2_Smart-seq2_B1.MAA000839.3_11_M.1.1	Smart-seq2	196353	1881	FB_alveolar
lung_SmartSeq2_Smart-seq2_D2.MAA000839.3_11_M.1.1	Smart-seq2	90638	1320	FB_alveolar
lung_SmartSeq2_Smart-seq2_D6.MAA000839.3_11_M.1.1	Smart-seq2	124967	1696	Endo_capillary
lung_SmartSeq2_Smart-seq2_D10.MAA000839.3_11_M.1.1	Smart-seq2	190963	2203	FB_adventitial
lung_SmartSeq2_Smart-seq2_B4.MAA000839.3_11_M.1.1	Smart-seq2	59515	1224	Endo_capillary
lung_SmartSeq2_Smart-seq2_B7.MAA000839.3_11_M.1.1	Smart-seq2	71440	1170	Endo_capillary
lung_SmartSeq2_Smart-seq2_D12.MAA000839.3_11_M.1.1	Smart-seq2	101715	1640	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_B6.MAA000839.3_11_M.1.1	Smart-seq2	79556	2028	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_D11.MAA000839.3_11_M.1.1	Smart-seq2	161309	1760	FB_adventitial
lung_SmartSeq2_Smart-seq2_B10.MAA000839.3_11_M.1.1	Smart-seq2	165729	2004	FB_adventitial
lung_SmartSeq2_Smart-seq2_D13.MAA000839.3_11_M.1.1	Smart-seq2	242058	2442	FB_adventitial
lung_SmartSeq2_Smart-seq2_B11.MAA000839.3_11_M.1.1	Smart-seq2	88408	1646	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_B13.MAA000839.3_11_M.1.1	Smart-seq2	103576	1791	FB_alveolar
lung_SmartSeq2_Smart-seq2_B12.MAA000839.3_11_M.1.1	Smart-seq2	228658	2372	FB_adventitial
lung_SmartSeq2_Smart-seq2_B22.MAA000839.3_11_M.1.1	Smart-seq2	56287	967	Bcell
lung_SmartSeq2_Smart-seq2_C1.MAA000839.3_11_M.1.1	Smart-seq2	140208	1574	FB_alveolar
lung_SmartSeq2_Smart-seq2_C2.MAA000839.3_11_M.1.1	Smart-seq2	184381	2319	FB_alveolar
lung_SmartSeq2_Smart-seq2_C3.MAA000839.3_11_M.1.1	Smart-seq2	152350	1661	Epi_AT2
lung_SmartSeq2_Smart-seq2_E10.MAA000839.3_11_M.1.1	Smart-seq2	475913	2193	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_H6.MAA000839.3_11_M.1.1	Smart-seq2	300441	1336	Endo_capillary
lung_SmartSeq2_Smart-seq2_K4.MAA000839.3_11_M.1.1	Smart-seq2	256227	1288	Endo_capillary
lung_SmartSeq2_Smart-seq2_P3.MAA000839.3_11_M.1.1	Smart-seq2	483880	2017	Epi_AT2
lung_SmartSeq2_Smart-seq2_E11.MAA000839.3_11_M.1.1	Smart-seq2	693674	2814	FB_adventitial
lung_SmartSeq2_Smart-seq2_H11.MAA000839.3_11_M.1.1	Smart-seq2	393274	1927	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_K5.MAA000839.3_11_M.1.1	Smart-seq2	757549	2359	Epi_AT2
lung_SmartSeq2_Smart-seq2_N1.MAA000839.3_11_M.1.1	Smart-seq2	795428	2286	FB_alveolar
lung_SmartSeq2_Smart-seq2_P4.MAA000839.3_11_M.1.1	Smart-seq2	883620	3033	Epi_AT2
lung_SmartSeq2_Smart-seq2_E12.MAA000839.3_11_M.1.1	Smart-seq2	856858	2398	FB_adventitial
lung_SmartSeq2_Smart-seq2_H21.MAA000839.3_11_M.1.1	Smart-seq2	183025	1309	Bcell
lung_SmartSeq2_Smart-seq2_K6.MAA000839.3_11_M.1.1	Smart-seq2	283356	1378	Endo_capillary
lung_SmartSeq2_Smart-seq2_N2.MAA000839.3_11_M.1.1	Smart-seq2	920406	2842	Epi_AT2
lung_SmartSeq2_Smart-seq2_K7.MAA000839.3_11_M.1.1	Smart-seq2	200497	1165	Endo_capillary
lung_SmartSeq2_Smart-seq2_E17.MAA000839.3_11_M.1.1	Smart-seq2	524861	1930	Endo_LEC
lung_SmartSeq2_Smart-seq2_I1.MAA000839.3_11_M.1.1	Smart-seq2	640847	2168	FB_alveolar
lung_SmartSeq2_Smart-seq2_N4.MAA000839.3_11_M.1.1	Smart-seq2	487889	1983	Endo_capillary
lung_SmartSeq2_Smart-seq2_F2.MAA000839.3_11_M.1.1	Smart-seq2	768909	2238	FB_alveolar
lung_SmartSeq2_Smart-seq2_I2.MAA000839.3_11_M.1.1	Smart-seq2	785204	2235	FB_alveolar
lung_SmartSeq2_Smart-seq2_K12.MAA000839.3_11_M.1.1	Smart-seq2	1061353	3485	FB_adventitial
lung_SmartSeq2_Smart-seq2_N5.MAA000839.3_11_M.1.1	Smart-seq2	1027275	2462	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_P7.MAA000839.3_11_M.1.1	Smart-seq2	214351	1397	Endo_capillary
lung_SmartSeq2_Smart-seq2_N10.MAA000839.3_11_M.1.1	Smart-seq2	150516	595	FB_alveolar
lung_SmartSeq2_Smart-seq2_F3.MAA000839.3_11_M.1.1	Smart-seq2	902209	2251	Epi_AT2
lung_SmartSeq2_Smart-seq2_I3.MAA000839.3_11_M.1.1	Smart-seq2	926923	2485	Endo_venous
lung_SmartSeq2_Smart-seq2_K17.MAA000839.3_11_M.1.1	Smart-seq2	338382	1433	Endo_capillary
lung_SmartSeq2_Smart-seq2_F4.MAA000839.3_11_M.1.1	Smart-seq2	713329	2447	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_I4.MAA000839.3_11_M.1.1	Smart-seq2	1052733	2511	Epi_AT2
lung_SmartSeq2_Smart-seq2_N11.MAA000839.3_11_M.1.1	Smart-seq2	379564	1473	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_F5.MAA000839.3_11_M.1.1	Smart-seq2	828454	2332	Endo_venous
lung_SmartSeq2_Smart-seq2_I5.MAA000839.3_11_M.1.1	Smart-seq2	170103	1297	Endo_capillary
lung_SmartSeq2_Smart-seq2_L2.MAA000839.3_11_M.1.1	Smart-seq2	601643	2351	Pericyte
lung_SmartSeq2_Smart-seq2_N12.MAA000839.3_11_M.1.1	Smart-seq2	627252	1795	FB_adventitial
lung_SmartSeq2_Smart-seq2_P10.MAA000839.3_11_M.1.1	Smart-seq2	574285	2376	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_F6.MAA000839.3_11_M.1.1	Smart-seq2	302449	1248	Endo_capillary
lung_SmartSeq2_Smart-seq2_I7.MAA000839.3_11_M.1.1	Smart-seq2	408098	1453	Endo_capillary
lung_SmartSeq2_Smart-seq2_P12.MAA000839.3_11_M.1.1	Smart-seq2	440023	1712	FB_adventitial
lung_SmartSeq2_Smart-seq2_L5.MAA000839.3_11_M.1.1	Smart-seq2	1241045	4457	Epi_ciliated
lung_SmartSeq2_Smart-seq2_N13.MAA000839.3_11_M.1.1	Smart-seq2	1081720	2687	FB_adventitial
lung_SmartSeq2_Smart-seq2_N17.MAA000839.3_11_M.1.1	Smart-seq2	493037	1694	Endo_capillary
lung_SmartSeq2_Smart-seq2_F9.MAA000839.3_11_M.1.1	Smart-seq2	384323	1623	Endo_arterial
lung_SmartSeq2_Smart-seq2_I10.MAA000839.3_11_M.1.1	Smart-seq2	655759	2833	FB_adventitial
lung_SmartSeq2_Smart-seq2_L6.MAA000839.3_11_M.1.1	Smart-seq2	299830	1500	Endo_capillary
lung_SmartSeq2_Smart-seq2_P13.MAA000839.3_11_M.1.1	Smart-seq2	233393	901	FB_adventitial
lung_SmartSeq2_Smart-seq2_F10.MAA000839.3_11_M.1.1	Smart-seq2	909175	3467	FB_adventitial
lung_SmartSeq2_Smart-seq2_I12.MAA000839.3_11_M.1.1	Smart-seq2	580246	1954	Pericyte
lung_SmartSeq2_Smart-seq2_L7.MAA000839.3_11_M.1.1	Smart-seq2	280987	1499	Endo_capillary
lung_SmartSeq2_Smart-seq2_N20.MAA000839.3_11_M.1.1	Smart-seq2	827791	2668	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_P17.MAA000839.3_11_M.1.1	Smart-seq2	162890	1405	Endo_capillary
lung_SmartSeq2_Smart-seq2_F13.MAA000839.3_11_M.1.1	Smart-seq2	1064062	1974	FB_adventitial
lung_SmartSeq2_Smart-seq2_M1.MAA000839.3_11_M.1.1	Smart-seq2	405827	2127	FB_alveolar
lung_SmartSeq2_Smart-seq2_N22.MAA000839.3_11_M.1.1	Smart-seq2	639454	1561	DC_cDC2
lung_SmartSeq2_Smart-seq2_F19.MAA000839.3_11_M.1.1	Smart-seq2	487857	1697	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_I19.MAA000839.3_11_M.1.1	Smart-seq2	1038886	2884	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_G1.MAA000839.3_11_M.1.1	Smart-seq2	691096	1835	FB_alveolar
lung_SmartSeq2_Smart-seq2_J1.MAA000839.3_11_M.1.1	Smart-seq2	415197	1766	Pericyte
lung_SmartSeq2_Smart-seq2_M3.MAA000839.3_11_M.1.1	Smart-seq2	331381	1434	Endo_capillary
lung_SmartSeq2_Smart-seq2_G2.MAA000839.3_11_M.1.1	Smart-seq2	546830	1695	Pericyte
lung_SmartSeq2_Smart-seq2_M4.MAA000839.3_11_M.1.1	Smart-seq2	141431	583	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_O4.MAA000839.3_11_M.1.1	Smart-seq2	439967	1675	Endo_capillary
lung_SmartSeq2_Smart-seq2_J3.MAA000839.3_11_M.1.1	Smart-seq2	416765	1729	Endo_capillary
lung_SmartSeq2_Smart-seq2_G3.MAA000839.3_11_M.1.1	Smart-seq2	484224	1446	Endo_capillary
lung_SmartSeq2_Smart-seq2_J4.MAA000839.3_11_M.1.1	Smart-seq2	581980	2144	Epi_AT2
lung_SmartSeq2_Smart-seq2_M5.MAA000839.3_11_M.1.1	Smart-seq2	708327	2382	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_O5.MAA000839.3_11_M.1.1	Smart-seq2	675401	2280	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_G5.MAA000839.3_11_M.1.1	Smart-seq2	892873	2496	Endo_venous
lung_SmartSeq2_Smart-seq2_J5.MAA000839.3_11_M.1.1	Smart-seq2	1053868	2999	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_O6.MAA000839.3_11_M.1.1	Smart-seq2	460686	1451	Endo_capillary
lung_SmartSeq2_Smart-seq2_M6.MAA000839.3_11_M.1.1	Smart-seq2	482613	1734	Endo_capillary
lung_SmartSeq2_Smart-seq2_J6.MAA000839.3_11_M.1.1	Smart-seq2	221164	1273	Endo_capillary
lung_SmartSeq2_Smart-seq2_M7.MAA000839.3_11_M.1.1	Smart-seq2	156469	723	Endo_capillary
lung_SmartSeq2_Smart-seq2_G6.MAA000839.3_11_M.1.1	Smart-seq2	503723	1556	Endo_capillary
lung_SmartSeq2_Smart-seq2_O7.MAA000839.3_11_M.1.1	Smart-seq2	315647	1478	Endo_capillary
lung_SmartSeq2_Smart-seq2_J7.MAA000839.3_11_M.1.1	Smart-seq2	253314	1578	Endo_capillary
lung_SmartSeq2_Smart-seq2_M10.MAA000839.3_11_M.1.1	Smart-seq2	221327	1085	Pericyte
lung_SmartSeq2_Smart-seq2_O11.MAA000839.3_11_M.1.1	Smart-seq2	342932	2154	FB_adventitial
lung_SmartSeq2_Smart-seq2_E1.MAA000839.3_11_M.1.1	Smart-seq2	946137	3199	FB_alveolar
lung_SmartSeq2_Smart-seq2_G10.MAA000839.3_11_M.1.1	Smart-seq2	637820	2495	FB_adventitial
lung_SmartSeq2_Smart-seq2_G12.MAA000839.3_11_M.1.1	Smart-seq2	1332336	3658	FB_adventitial
lung_SmartSeq2_Smart-seq2_M11.MAA000839.3_11_M.1.1	Smart-seq2	465358	1851	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_O18.MAA000839.3_11_M.1.1	Smart-seq2	264663	1224	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_E2.MAA000839.3_11_M.1.1	Smart-seq2	548930	1972	FB_alveolar
lung_SmartSeq2_Smart-seq2_E4.MAA000839.3_11_M.1.1	Smart-seq2	301742	1274	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_H1.MAA000839.3_11_M.1.1	Smart-seq2	806713	2611	FB_alveolar
lung_SmartSeq2_Smart-seq2_K1.MAA000839.3_11_M.1.1	Smart-seq2	552507	1906	FB_alveolar
lung_SmartSeq2_Smart-seq2_M13.MAA000839.3_11_M.1.1	Smart-seq2	885217	2699	FB_adventitial
lung_SmartSeq2_Smart-seq2_G19.MAA000839.3_11_M.1.1	Smart-seq2	380356	1524	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_J10.MAA000839.3_11_M.1.1	Smart-seq2	302639	1551	FB_alveolar
lung_SmartSeq2_Smart-seq2_M12.MAA000839.3_11_M.1.1	Smart-seq2	455042	1719	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_O22.MAA000839.3_11_M.1.1	Smart-seq2	325495	973	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_E6.MAA000839.3_11_M.1.1	Smart-seq2	151687	1252	Endo_capillary
lung_SmartSeq2_Smart-seq2_H2.MAA000839.3_11_M.1.1	Smart-seq2	717967	3296	Epi_AT2
lung_SmartSeq2_Smart-seq2_K2.MAA000839.3_11_M.1.1	Smart-seq2	362325	1489	FB_alveolar
lung_SmartSeq2_Smart-seq2_P1.MAA000839.3_11_M.1.1	Smart-seq2	475267	2327	FB_alveolar
lung_SmartSeq2_Smart-seq2_M19.MAA000839.3_11_M.1.1	Smart-seq2	16941	517	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_P2.MAA000839.3_11_M.1.1	Smart-seq2	310982	1539	FB_alveolar
lung_SmartSeq2_Smart-seq2_E7.MAA000839.3_11_M.1.1	Smart-seq2	309353	1343	Endo_capillary
lung_SmartSeq2_Smart-seq2_H4.MAA000839.3_11_M.1.1	Smart-seq2	46755	578	Epi_AT2
lung_SmartSeq2_Smart-seq2_D21.MAA000891.3_10_M.1.1	Smart-seq2	2739142	2477	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_B14.MAA000891.3_10_M.1.1	Smart-seq2	1002231	2512	FB_adventitial
lung_SmartSeq2_Smart-seq2_D22.MAA000891.3_10_M.1.1	Smart-seq2	2330989	1938	NK
lung_SmartSeq2_Smart-seq2_B17.MAA000891.3_10_M.1.1	Smart-seq2	1342099	3141	FB_adventitial
lung_SmartSeq2_Smart-seq2_A4.MAA000891.3_10_M.1.1	Smart-seq2	96371	2594	Epi_AT2
lung_SmartSeq2_Smart-seq2_B19.MAA000891.3_10_M.1.1	Smart-seq2	716160	2395	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_E5.MAA000891.3_10_M.1.1	Smart-seq2	288136	1941	Endo_LEC
lung_SmartSeq2_Smart-seq2_A5.MAA000891.3_10_M.1.1	Smart-seq2	283616	2373	Endo_LEC
lung_SmartSeq2_Smart-seq2_B20.MAA000891.3_10_M.1.1	Smart-seq2	1418672	2378	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_E10.MAA000891.3_10_M.1.1	Smart-seq2	425657	2835	FB_adventitial
lung_SmartSeq2_Smart-seq2_B21.MAA000891.3_10_M.1.1	Smart-seq2	608637	1101	NK
lung_SmartSeq2_Smart-seq2_E13.MAA000891.3_10_M.1.1	Smart-seq2	724088	2268	FB_adventitial
lung_SmartSeq2_Smart-seq2_A12.MAA000891.3_10_M.1.1	Smart-seq2	143095	1683	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_B22.MAA000891.3_10_M.1.1	Smart-seq2	1169751	1027	Neutrophil
lung_SmartSeq2_Smart-seq2_E14.MAA000891.3_10_M.1.1	Smart-seq2	698893	2940	FB_adventitial
lung_SmartSeq2_Smart-seq2_A13.MAA000891.3_10_M.1.1	Smart-seq2	538584	2640	FB_adventitial
lung_SmartSeq2_Smart-seq2_C1.MAA000891.3_10_M.1.1	Smart-seq2	263076	1804	FB_alveolar
lung_SmartSeq2_Smart-seq2_E19.MAA000891.3_10_M.1.1	Smart-seq2	1038725	1698	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_A14.MAA000891.3_10_M.1.1	Smart-seq2	521165	1986	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_C13.MAA000891.3_10_M.1.1	Smart-seq2	708871	2920	FB_adventitial
lung_SmartSeq2_Smart-seq2_E20.MAA000891.3_10_M.1.1	Smart-seq2	2801126	2697	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_E21.MAA000891.3_10_M.1.1	Smart-seq2	2880718	2633	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_C14.MAA000891.3_10_M.1.1	Smart-seq2	1390051	3079	FB_adventitial
lung_SmartSeq2_Smart-seq2_A17.MAA000891.3_10_M.1.1	Smart-seq2	384143	1343	Endo_LEC
lung_SmartSeq2_Smart-seq2_C18.MAA000891.3_10_M.1.1	Smart-seq2	652309	1305	Endo_capillary
lung_SmartSeq2_Smart-seq2_F1.MAA000891.3_10_M.1.1	Smart-seq2	316900	1640	FB_alveolar
lung_SmartSeq2_Smart-seq2_A18.MAA000891.3_10_M.1.1	Smart-seq2	376702	1200	Endo_LEC
lung_SmartSeq2_Smart-seq2_C19.MAA000891.3_10_M.1.1	Smart-seq2	1827760	2606	Mo_Ly6Chi
