orig.ident	nReads	nGene	celltype
lung_SmartSeq2_Smart-seq2_I10.MAA000526.3_9_M.1.1	Smart-seq2	505555	2217	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_P19.MAA000526.3_9_M.1.1	Smart-seq2	207924	2058	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_K2.MAA000526.3_9_M.1.1	Smart-seq2	756673	3066	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_A22.MAA000526.3_9_M.1.1	Smart-seq2	1199491	3519	DC_cDC2
lung_SmartSeq2_Smart-seq2_C10.MAA000526.3_9_M.1.1	Smart-seq2	1001211	3568	FB_adventitial
lung_SmartSeq2_Smart-seq2_D20.MAA000526.3_9_M.1.1	Smart-seq2	291058	1279	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_F9.MAA000526.3_9_M.1.1	Smart-seq2	517000	2818	Endo_LEC
lung_SmartSeq2_Smart-seq2_H1.MAA000526.3_9_M.1.1	Smart-seq2	559479	3103	FB_adventitial
lung_SmartSeq2_Smart-seq2_L11.MAA000526.3_9_M.1.1	Smart-seq2	1142924	3522	FB_adventitial
lung_SmartSeq2_Smart-seq2_I12.MAA000526.3_9_M.1.1	Smart-seq2	818774	2857	FB_adventitial
lung_SmartSeq2_Smart-seq2_K3.MAA000526.3_9_M.1.1	Smart-seq2	781058	3389	Epi_AT2
lung_SmartSeq2_Smart-seq2_N4.MAA000526.3_9_M.1.1	Smart-seq2	251339	957	Epi_AT2
lung_SmartSeq2_Smart-seq2_O13.MAA000526.3_9_M.1.1	Smart-seq2	730932	2834	FB_adventitial
lung_SmartSeq2_Smart-seq2_P20.MAA000526.3_9_M.1.1	Smart-seq2	573298	3207	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_L12.MAA000526.3_9_M.1.1	Smart-seq2	1506788	4700	FB_adventitial
lung_SmartSeq2_Smart-seq2_B1.MAA000526.3_9_M.1.1	Smart-seq2	1539834	2984	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_C11.MAA000526.3_9_M.1.1	Smart-seq2	999881	3475	FB_adventitial
lung_SmartSeq2_Smart-seq2_D21.MAA000526.3_9_M.1.1	Smart-seq2	815627	3182	Tcell_CD4T
lung_SmartSeq2_Smart-seq2_F10.MAA000526.3_9_M.1.1	Smart-seq2	671534	2985	FB_adventitial
lung_SmartSeq2_Smart-seq2_H2.MAA000526.3_9_M.1.1	Smart-seq2	1143364	3076	FB_alveolar
lung_SmartSeq2_Smart-seq2_N5.MAA000526.3_9_M.1.1	Smart-seq2	576222	2817	Epi_AT2
lung_SmartSeq2_Smart-seq2_I13.MAA000526.3_9_M.1.1	Smart-seq2	182366	1240	FB_alveolar
lung_SmartSeq2_Smart-seq2_K4.MAA000526.3_9_M.1.1	Smart-seq2	1114770	3518	Epi_AT2
lung_SmartSeq2_Smart-seq2_O17.MAA000526.3_9_M.1.1	Smart-seq2	120375	604	Endo_capillary
lung_SmartSeq2_Smart-seq2_P21.MAA000526.3_9_M.1.1	Smart-seq2	227760	2086	NK
lung_SmartSeq2_Smart-seq2_L13.MAA000526.3_9_M.1.1	Smart-seq2	791687	2283	FB_adventitial
lung_SmartSeq2_Smart-seq2_B2.MAA000526.3_9_M.1.1	Smart-seq2	306466	814	Endo_capillary
lung_SmartSeq2_Smart-seq2_C12.MAA000526.3_9_M.1.1	Smart-seq2	622960	2262	Pericyte
lung_SmartSeq2_Smart-seq2_D22.MAA000526.3_9_M.1.1	Smart-seq2	619387	1465	Neutrophil
lung_SmartSeq2_Smart-seq2_F11.MAA000526.3_9_M.1.1	Smart-seq2	472361	1878	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_H3.MAA000526.3_9_M.1.1	Smart-seq2	1182844	3871	Epi_AT2
lung_SmartSeq2_Smart-seq2_N7.MAA000526.3_9_M.1.1	Smart-seq2	508770	2070	Endo_capillary
lung_SmartSeq2_Smart-seq2_K6.MAA000526.3_9_M.1.1	Smart-seq2	399659	2345	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_L21.MAA000526.3_9_M.1.1	Smart-seq2	467338	2033	NK
lung_SmartSeq2_Smart-seq2_O18.MAA000526.3_9_M.1.1	Smart-seq2	715164	3091	Endo_LEC
lung_SmartSeq2_Smart-seq2_N8.MAA000526.3_9_M.1.1	Smart-seq2	492851	2168	Endo_arterial
lung_SmartSeq2_Smart-seq2_B3.MAA000526.3_9_M.1.1	Smart-seq2	591526	2697	Epi_AT2
lung_SmartSeq2_Smart-seq2_C13.MAA000526.3_9_M.1.1	Smart-seq2	340651	1908	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_E1.MAA000526.3_9_M.1.1	Smart-seq2	1743010	3492	FB_alveolar
lung_SmartSeq2_Smart-seq2_F13.MAA000526.3_9_M.1.1	Smart-seq2	1063559	3421	FB_adventitial
lung_SmartSeq2_Smart-seq2_O19.MAA000526.3_9_M.1.1	Smart-seq2	859966	3072	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_H4.MAA000526.3_9_M.1.1	Smart-seq2	900441	4456	Epi_AT2
lung_SmartSeq2_Smart-seq2_I17.MAA000526.3_9_M.1.1	Smart-seq2	579810	2248	Endo_LEC
lung_SmartSeq2_Smart-seq2_B4.MAA000526.3_9_M.1.1	Smart-seq2	474155	1111	Epi_AT2
